raceId,driverId,constructorId,grid,positionOrder,top3,year,round,circuitId,driver_nationality,driver_age,constructor_nationality,quali_position
21,18,11,13,6,0,2008,4,4,British,28.27104722792608,Japanese,13.0
21,6,3,12,7,0,2008,4,4,Japanese,23.290896646132786,British,12.0
21,15,7,8,8,0,2008,4,4,Italian,33.790554414784395,Japanese,8.0
21,2,2,9,9,0,2008,4,4,German,30.965092402464066,German,9.0
21,21,10,19,10,0,2008,4,4,Italian,35.28268309377139,Indian,19.0
21,10,7,14,11,0,2008,4,4,German,26.11088295687885,Japanese,14.0
21,14,9,17,12,0,2008,4,4,British,37.086926762491444,Austrian,17.0
21,11,8,22,13,0,2008,4,4,Japanese,31.24435318275154,Japanese,22.0
21,3,3,15,14,0,2008,4,4,German,22.833675564681723,British,15.0
21,4,4,2,15,0,2008,4,4,Spanish,26.746064339493497,French,2.0
21,22,11,11,16,0,2008,4,4,Brazilian,35.92881587953457,Japanese,11.0
21,5,1,6,17,0,2008,4,4,Finnish,26.521560574948666,British,6.0
21,19,8,21,18,0,2008,4,4,British,29.026694045174537,Japanese,21.0
21,7,5,16,19,0,2008,4,4,French,29.16084873374401,Italian,16.0
21,12,4,10,20,0,2008,4,4,Brazilian,22.757015742642025,French,10.0
21,16,10,20,21,0,2008,4,4,German,25.29226557152635,Indian,20.0
21,20,5,18,22,0,2008,4,4,German,20.8186173853525,Italian,18.0
22,13,6,1,1,1,2008,5,5,Brazilian,27.044490075290895,Italian,1.0
22,1,1,3,2,1,2008,5,5,British,23.340177960301162,British,3.0
22,8,6,4,3,1,2008,5,5,Finnish,28.566735112936346,Italian,4.0
22,9,2,5,4,0,2008,5,5,Polish,23.42505133470226,German,5.0
22,2,2,9,5,0,2008,5,5,German,31.003422313483917,German,9.0
22,4,4,7,6,0,2008,5,5,Spanish,26.784394250513348,French,7.0
22,17,9,6,7,0,2008,5,5,Australian,31.704312114989733,Austrian,6.0
22,3,3,11,8,0,2008,5,5,German,22.872005475701574,British,11.0
22,14,9,10,9,0,2008,5,5,British,37.125256673511295,Austrian,10.0
22,15,7,8,10,0,2008,5,5,Italian,33.828884325804246,Japanese,8.0
22,18,11,13,11,0,2008,5,5,British,28.309377138945926,Japanese,13.0
22,5,1,2,12,0,2008,5,5,Finnish,26.559890485968516,British,2.0
22,10,7,15,13,0,2008,5,5,German,26.1492128678987,Japanese,15.0
22,22,11,12,14,0,2008,5,5,Brazilian,35.96714579055441,Japanese,12.0
22,12,4,17,15,0,2008,5,5,Brazilian,22.795345653661876,French,17.0
22,16,10,19,16,0,2008,5,5,German,25.3305954825462,Indian,20.0
22,20,5,14,17,0,2008,5,5,German,20.856947296372347,Italian,14.0
22,7,5,18,18,0,2008,5,5,French,29.19917864476386,Italian,18.0
22,6,3,16,19,0,2008,5,5,Japanese,23.329226557152634,British,16.0
22,21,10,20,20,0,2008,5,5,Italian,35.32101300479124,Indian,19.0
23,1,1,3,1,1,2008,6,6,British,23.378507871321013,British,3.0
23,9,2,5,2,1,2008,6,6,Polish,23.463381245722108,German,5.0
23,13,6,1,3,1,2008,6,6,Brazilian,27.082819986310746,Italian,1.0
23,17,9,9,4,0,2008,6,6,Australian,31.742642026009584,Austrian,9.0
23,20,5,19,5,0,2008,6,6,German,20.895277207392198,Italian,18.0
23,22,11,14,6,0,2008,6,6,Brazilian,36.00547570157426,Japanese,15.0
23,6,3,13,7,0,2008,6,6,Japanese,23.367556468172484,British,14.0
